question,type
Why do you want to work for X company?,Behavioral
Why do you want to leave your current/last company?,Behavioral
What are you looking for in your next role?,Behavioral
Tell me about a time when you had a conflict with a co-worker.,Behavioral
Tell me about a time in which you had a conflict and needed to influence somebody else.,Behavioral
What project are you currently working on?,Behavioral
What is the most challenging aspect of your current project?,Behavioral
What was the most difficult bug that you fixed in the past 6 months?,Behavioral
"How do you tackle challenges? Name a difficult challenge you faced while working on a project, how you overcame it, and what you learned.",Behavioral
What are you excited about?,Behavioral
